CHEMBL128712	xkraxwbjkdblfm-gerbilsosa-n	gerbils
CHEMBL1287917	rfclpmimicskfw-uhfffaoysa-n	mimics
CHEMBL1288269	lkxilsfitaswco-bgmraphesa-n	raphes
CHEMBL1288526	zpvhbqighvbbkf-cpcredonsa-n	redons
CHEMBL1288677	xalrfenceruiru-uhfffaoysa-n	fencer
CHEMBL1300487	sgibbernqfcrnt-uhfffaoysa-n	gibber
CHEMBL1301800	zujqwcitenfold-uhfffaoysa-n	enfold
CHEMBL1301800	zujqwcitenfold-uhfffaoysa-n	tenfold
CHEMBL1302046	bbeholdglndufv-uhfffaoysa-n	behold
CHEMBL1303100	dvxseogourdsaq-uhfffaoysa-n	gourds
CHEMBL1307228	wkkyzxnldoughy-uhfffaoysa-n	doughy
CHEMBL1316705	higheroitcamfh-uhfffaoysa-n	higher
CHEMBL1317386	hgtcloverowtje-cqszacivsa-n	clover
CHEMBL1324180	ndfmicverbilew-uhfffaoysa-n	verbile
CHEMBL1325601	jackyumeeklydf-uhfffaoysa-n	meekly
CHEMBL1326334	qntblppmedakap-uhfffaoysa-n	medaka
CHEMBL1328535	oknormalfrsnrp-uhfffaoysa-n	normal
CHEMBL1328989	jwmyfdyccawing-uhfffaoysa-n	cawing
CHEMBL1333221	lpiiegyclootsd-uhfffaoysa-n	cloots
CHEMBL1333553	qfxpmnwelunacy-unompaqxsa-n	lunacy
CHEMBL1337238	lushedjcrqqmds-uhfffaoysa-n	lushed
CHEMBL1340042	vhlpqibdarkedy-uhfffaoysa-n	darked
CHEMBL1340694	zxdscouthncceh-uhfffaoysa-n	scouth
CHEMBL13428	rsocujqwrandom-uhfffaoysa-n	random
CHEMBL134453	hkhrwodvcoccic-roxvqfjhsa-n	coccic
CHEMBL1345273	cherubjrjgwgfe-uhfffaoysa-n	cherub
CHEMBL1346743	tyspwybraggyll-uhfffaoysa-n	braggy
CHEMBL1350440	aiignifyofwjcg-uhfffaoysa-n	ignify
